packet_name,mcpacket_expresion,mcpacket_naming_expresion
keep_alive,v,keep_alive_id
join_game,iBbBBs?,entity_id;gamemode;dimension;difficiulty;max_players;level_type;reduce_debug_info
chat_message,jb,json_data;position
time_update,ll,world_age;time_of_day
entity_equipment,vhS,entity_id;slot;item
spawn_position,p,position
update_health,fvf,health;food;food_saturation
respawn,iBBs,dimension;difficiulty;gamemode;level_type
#multi_block_change,iiv[BBv],chunk_x;chunk_z;block[horizontal_position;y_cordinate;bock_id]
#tab_complete,s?(p),text()